Name,Score
神奇动物：格林德沃之罪,8.7
毒液：致命守护者,9.0
名侦探柯南：零的执行人,8.4
无名之辈,
你好，之华,8.1
胡桃夹子和四个王国,7.7
恐龙王,8.6
飓风奇劫,8.2
流浪猫鲍勃,8.7
无敌破坏王2：大闹互联网,
我的冤家是条狗,8.4
有五个姐姐的我就注定要单身了啊！,
憨豆特工3,
梦境之源,
雪怪大冒险,8.7
无双,8.9
中国蓝盔,
嗝嗝老师,9.1
锁,
最后一公里,
昨日青空,8.4
超时空大冒险,
三国杀·幻,7.0
两个俏公主,8.2
滴答屋,7.7
铁血战士,7.6
阿凡提之奇缘历险,8.3
红旗漫卷西风,
开学悸,
黑暗迷宫,7.8
那些名字那些年,
找到你,8.7
我的战争,8.1
阴阳眼之瞳灵公馆,5.3
挑山女人,
嘉年华,8.4
李保国,
克隆人,
向阳的日子,
勇敢往事,
改革开放40周年影展,
影,8.2
冰封侠：时空行者,5.4
信仰者,
可爱的中国,
不一样的焰火,
战狼2,9.5
勇士,8.8
快手枪手快枪手,8.2
建军大业,8.8
无敌破坏王,
自行车与旧电钢,
地层深处,
白蛇传,
记忆折叠,
夏日的期待,
小街,
建国大业,
阿拉姜色,8.4
龙猫,
三毛从军记,
难忘的岁月,
我只认识你,
请你记住我,
门徒,
冒牌搭档,
出路,
破梦游戏,
